animal,hour,date
PESCADO,09:00,2022-03-10
BURRO,10:00,2022-03-10
TORO,11:00,2022-03-10
GALLO,12:00,2022-03-10
IGUANA,01:00,2022-03-10
VENADO,02:00,2022-03-10
CERDO,03:00,2022-03-10
ALACRÁN,04:00,2022-03-10
RANA,05:00,2022-03-10
ELEFANTE,06:00,2022-03-10
DELFÍN,07:00,2022-03-10
PERICO,09:00,2023-12-13
PALOMA,10:00,2023-12-13
DELFÍN,11:00,2023-12-13
BALLENA,12:00,2023-12-13
PALOMA,01:00,2023-12-13
PERRO,02:00,2023-12-13
CAMELLO,03:00,2023-12-13
CAIMÁN,04:00,2023-12-13
PAVO,05:00,2023-12-13
CEBRA,06:00,2023-12-13
VACA,07:00,2023-12-13
CABALLO,09:00,2022-04-18
IGUANA,10:00,2022-04-18
JIRAFA,11:00,2022-04-18
BALLENA,12:00,2022-04-18
MONO,01:00,2022-04-18
VENADO,02:00,2022-04-18
BURRO,03:00,2022-04-18
CHIVO,04:00,2022-04-18
RATÓN,05:00,2022-04-18
CERDO,06:00,2022-04-18
OSO,07:00,2022-04-18
TIGRE,09:00,2023-10-13
PERRO,10:00,2023-10-13
ARDILLA,11:00,2023-10-13
VACA,12:00,2023-10-13
ZAMURO,01:00,2023-10-13
PESCADO,02:00,2023-10-13
RATÓN,03:00,2023-10-13
CHIVO,04:00,2023-10-13
IGUANA,05:00,2023-10-13
PAVO,06:00,2023-10-13
BALLENA,07:00,2023-10-13
CHIVO,09:00,2022-01-23
LAPA,10:00,2022-01-23
CAIMÁN,11:00,2022-01-23
ZAMURO,12:00,2022-01-23
CHIVO,01:00,2022-01-23
OSO,02:00,2022-01-23
LEÓN,03:00,2022-01-23
BALLENA,04:00,2022-01-23
PALOMA,05:00,2022-01-23
ZAMURO,06:00,2022-01-23
GATO,07:00,2022-01-23
PALOMA,09:00,2023-01-10
CIEMPIÉS,10:00,2023-01-10
TORO,11:00,2023-01-10
CERDO,12:00,2023-01-10
ZORRO,01:00,2023-01-10
GALLINA,02:00,2023-01-10
CEBRA,03:00,2023-01-10
PERICO,04:00,2023-01-10
CULEBRA,05:00,2023-01-10
CAMELLO,06:00,2023-01-10
GATO,07:00,2023-01-10
CAMELLO,09:00,2024-02-21
CABALLO,10:00,2024-02-21
VACA,11:00,2024-02-21
TIGRE,12:00,2024-02-21
PESCADO,01:00,2024-02-21
CIEMPIÉS,02:00,2024-02-21
PAVO,03:00,2024-02-21
CEBRA,04:00,2024-02-21
ZAMURO,05:00,2024-02-21
IGUANA,06:00,2024-02-21
LAPA,07:00,2024-02-21
